,score
0,1
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,1
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,0
170,0
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,0
195,0
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,0
246,1
247,1
248,0
249,0
250,0
251,1
252,1
253,0
254,1
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,0
351,1
352,0
353,1
354,1
355,1
356,0
357,0
358,1
359,0
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,0
434,1
435,1
436,0
437,0
438,1
439,0
440,1
441,1
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,0
458,0
459,0
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,1
475,0
476,0
477,0
478,1
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,1
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,0
526,0
527,0
528,0
529,1
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,0
578,1
579,1
580,1
581,0
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,1
601,1
602,1
603,0
604,1
605,0
606,0
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,0
616,1
617,1
618,0
619,1
620,1
621,1
622,1
623,1
624,1
625,0
626,0
627,0
628,0
629,0
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,0
667,1
668,1
669,0
670,1
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,0
682,0
683,1
684,1
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,1
714,1
715,0
716,1
717,1
718,1
719,1
720,1
721,0
722,1
723,1
724,0
725,0
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,0
738,1
739,1
740,0
741,0
742,1
743,0
744,1
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,1
757,1
758,1
759,1
760,0
761,0
762,1
763,0
764,1
765,1
766,1
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,1
777,1
778,0
779,0
780,1
781,1
782,1
783,0
784,1
785,0
786,1
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,0
801,1
802,0
803,1
804,1
805,0
806,1
807,1
808,1
809,1
810,1
811,1
812,0
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,0
832,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,0
843,0
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,0
854,1
855,1
856,1
857,0
858,0
859,0
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,0
868,0
869,1
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,0
887,1
888,0
889,0
890,0
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,0
899,1
900,0
901,0
902,1
903,1
904,1
905,1
906,1
907,1
908,0
909,0
910,1
911,1
912,1
913,1
914,1
915,0
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,0
935,1
936,1
937,1
938,0
939,1
940,0
941,1
942,1
943,0
944,0
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,0
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,0
973,0
974,1
975,0
976,0
977,1
978,0
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,0
988,1
989,1
990,0
991,1
992,1
993,1
994,1
995,1
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,0
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,0
1037,1
1038,1
1039,1
1040,0
1041,1
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,1
1056,0
1057,1
1058,0
1059,1
1060,1
1061,0
1062,1
1063,1
1064,1
1065,1
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,0
1081,1
1082,1
1083,1
1084,0
1085,1
1086,1
1087,1
1088,1
1089,0
1090,1
1091,1
1092,1
1093,1
1094,1
1095,0
1096,0
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,0
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,1
1116,1
1117,0
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,0
1130,1
1131,0
1132,1
1133,0
1134,0
1135,1
1136,1
1137,1
1138,1
1139,0
1140,1
1141,1
1142,1
1143,0
1144,1
1145,0
1146,1
1147,0
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,0
1171,1
1172,1
1173,1
1174,1
1175,0
1176,1
1177,1
1178,1
1179,0
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,0
1206,1
1207,1
1208,0
1209,1
1210,1
1211,1
1212,0
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,0
1222,0
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,0
1230,1
