,0
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,1
216,1
217,0
218,1
219,0
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,1
313,0
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,0
326,1
327,0
328,1
329,1
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,0
357,0
358,1
359,1
360,0
361,1
362,1
363,1
364,0
365,1
366,0
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,0
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,1
