,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,1
262,0
263,0
264,1
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,0
284,0
285,0
286,0
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,0
326,0
327,1
328,1
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,1
367,0
368,0
369,1
370,0
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,0
388,0
389,1
390,0
391,1
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,0
