,0
0,1
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,1
127,1
128,0
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,0
211,0
212,0
213,1
214,0
215,1
216,0
217,0
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,1
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,0
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,1
324,1
325,0
326,0
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,0
335,0
336,1
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,0
346,1
347,0
348,1
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,1
357,0
358,0
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,0
370,0
371,0
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,1
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,0
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,0
467,1
468,0
469,1
470,1
471,0
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,0
505,1
506,0
507,0
508,1
509,0
510,1
511,1
512,0
513,1
514,1
515,1
516,0
517,0
518,1
519,1
520,0
521,1
522,0
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,0
544,0
545,0
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,1
562,1
563,0
564,1
565,0
566,0
567,1
568,1
569,1
570,0
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,0
579,1
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,0
592,1
593,1
594,1
595,1
596,1
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,1
616,1
617,0
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,0
627,0
628,0
629,0
630,1
631,0
632,1
633,0
634,1
635,0
636,0
637,1
638,0
639,0
640,0
641,1
642,1
643,1
644,0
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,1
653,1
654,1
655,1
656,1
657,1
658,0
659,1
660,0
661,1
662,0
663,1
664,1
665,0
666,0
667,0
668,1
669,1
670,1
671,0
672,1
673,0
674,1
675,0
676,1
677,1
678,1
679,0
680,0
681,0
682,0
683,1
684,1
685,1
686,1
687,0
688,1
689,0
690,0
691,1
692,0
693,1
694,1
695,1
696,1
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,1
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,0
723,1
724,1
725,1
726,0
727,0
728,1
729,1
730,1
731,0
732,1
733,0
734,1
735,1
736,0
737,1
738,0
739,1
740,1
741,0
742,0
743,0
744,0
745,0
746,1
747,1
748,1
749,1
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,0
759,1
760,0
761,1
762,1
763,1
764,1
765,0
766,0
767,1
768,0
769,0
770,0
771,1
772,0
773,1
774,0
775,0
776,1
777,1
778,1
779,1
780,1
781,1
782,0
783,1
784,1
785,0
786,0
787,1
788,1
789,1
790,0
791,1
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,0
800,1
801,0
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,0
811,1
812,1
813,1
814,0
815,1
816,1
817,1
818,1
819,1
820,1
821,0
822,1
823,1
824,1
825,1
826,0
827,1
828,0
829,1
830,0
831,0
832,1
833,1
834,1
835,0
836,1
837,1
838,1
839,1
840,0
841,1
842,1
843,0
844,0
845,1
846,1
847,1
848,1
849,0
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,0
864,0
865,0
866,1
867,1
868,1
869,1
870,1
871,1
872,0
873,0
874,0
875,1
876,1
877,0
878,1
879,1
880,0
881,1
882,1
883,1
884,0
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,0
894,0
895,1
896,0
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,0
910,0
911,1
912,0
913,0
914,1
915,1
916,1
917,1
918,0
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,0
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,0
940,0
941,1
942,0
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,0
952,1
953,1
954,1
955,1
956,0
957,0
958,1
959,0
960,1
961,1
962,1
963,0
964,1
965,1
966,1
967,1
968,1
969,0
970,1
971,1
972,1
973,1
974,1
975,0
976,1
977,1
978,1
979,1
980,0
981,1
982,1
983,0
984,1
985,1
986,0
987,1
988,1
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,1
999,1
1000,0
1001,1
1002,1
1003,1
1004,1
1005,1
1006,0
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,0
1017,1
1018,0
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,1
1026,0
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,0
1049,1
1050,1
1051,1
1052,1
1053,1
1054,0
1055,1
1056,0
1057,1
1058,1
1059,0
1060,1
1061,1
1062,1
1063,1
1064,1
1065,0
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,0
1079,1
1080,1
1081,1
1082,0
1083,1
1084,1
1085,0
1086,0
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,0
1102,1
1103,1
1104,1
1105,1
1106,0
1107,1
1108,0
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,0
1119,0
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,0
1127,1
1128,1
1129,1
1130,1
1131,0
1132,0
1133,1
1134,1
1135,0
1136,1
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,0
1145,1
1146,0
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,0
1167,0
1168,1
1169,0
1170,0
1171,1
1172,1
1173,1
1174,1
1175,1
1176,0
1177,1
1178,1
1179,1
1180,1
1181,1
1182,0
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,0
1190,1
1191,1
1192,1
1193,0
1194,1
1195,1
1196,0
1197,0
1198,0
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,0
1206,1
1207,1
1208,0
1209,1
1210,1
1211,1
1212,1
1213,1
1214,0
1215,1
1216,1
1217,0
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,0
1230,0
