,0
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,1
60,0
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,1
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,0
229,0
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,0
294,0
295,1
296,0
297,1
298,0
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,1
318,1
319,0
320,0
321,1
322,0
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,0
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,1
358,0
359,1
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,1
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,0
386,0
387,0
388,1
389,1
390,1
391,1
392,0
393,1
394,0
395,1
396,0
397,0
398,1
399,0
