,score
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,1
44,1
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,1
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,0
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,0
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,0
292,1
293,1
294,1
295,0
296,1
297,0
298,1
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,1
343,0
344,0
345,0
346,1
347,1
348,1
349,1
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,1
370,0
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,1
532,1
