,score
0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,0
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,0
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,1
221,1
222,0
223,0
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,1
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,1
268,1
269,1
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,0
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,1
295,1
296,1
297,0
298,0
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,0
325,1
326,1
327,1
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,0
341,1
342,1
343,1
344,0
345,1
346,0
347,1
348,0
349,0
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,1
381,0
382,0
383,0
384,1
385,1
386,1
387,1
388,0
389,1
390,0
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,0
423,1
424,0
425,1
426,1
427,1
428,0
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,0
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,1
448,1
449,0
450,0
451,0
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,1
475,0
476,1
477,1
478,1
479,0
480,0
481,1
482,0
483,1
484,0
485,0
486,1
487,1
488,1
489,0
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,1
518,1
519,0
520,1
521,0
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,1
530,0
531,1
532,0
