,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,0
103,1
104,0
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,0
279,1
280,0
281,1
282,1
283,0
284,1
285,0
286,0
287,1
288,1
289,0
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,0
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,0
324,1
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,1
367,0
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,1
382,0
383,1
384,1
385,1
386,0
387,1
388,0
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,1
