,0
0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,0
133,0
134,1
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,1
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,1
271,0
272,0
273,0
274,1
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,1
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,1
310,1
311,0
312,1
313,0
314,1
315,1
316,0
317,1
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,1
335,0
336,1
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,1
349,0
350,0
351,0
352,1
353,0
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,1
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,0
378,1
379,0
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,1
396,1
397,1
398,0
399,0
