,0
0,0
1,0
2,1
3,2
4,2
5,3
6,3
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,5
17,5
18,6
19,6
20,6
21,6
22,6
23,7
24,7
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,9
36,9
37,9
38,9
39,10
40,10
41,10
42,11
43,12
44,13
45,13
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,14
54,14
55,15
56,15
57,15
58,15
59,16
60,16
61,16
62,17
63,17
64,17
65,17
66,17
67,17
68,17
69,17
70,17
71,17
72,17
73,17
74,17
75,17
76,17
77,17
78,17
79,17
80,17
81,17
82,17
83,17
84,17
85,17
86,17
87,17
88,17
89,17
90,17
91,17
92,17
93,17
94,17
95,17
96,17
97,17
98,17
99,17
100,17
101,17
102,17
103,18
104,18
105,18
106,18
107,18
108,18
109,18
110,18
111,19
112,19
113,19
114,19
115,19
116,20
117,20
118,20
119,20
120,20
121,20
122,20
123,20
124,20
125,20
126,20
127,21
128,22
129,22
130,22
131,22
132,22
133,22
134,22
135,22
136,23
137,24
138,24
139,24
140,24
141,24
142,24
143,25
144,25
145,25
146,25
147,25
148,25
149,25
150,25
151,25
152,26
153,26
154,26
155,26
156,26
157,26
158,26
159,26
160,26
161,27
162,27
163,28
164,28
165,28
166,28
167,28
168,28
169,29
170,30
171,30
172,31
173,31
174,31
175,31
176,31
177,32
178,32
179,33
180,33
181,34
182,34
183,35
184,35
185,35
186,36
187,36
188,37
189,37
190,38
191,38
192,38
193,38
194,38
195,38
196,38
197,38
198,38
199,38
200,38
201,38
202,38
203,38
204,38
205,39
206,39
207,39
208,40
209,40
210,40
211,40
212,40
213,40
214,40
215,40
216,40
217,40
218,40
219,40
220,40
221,40
222,40
223,40
224,40
225,40
226,40
227,41
228,41
229,41
230,42
231,42
232,42
233,43
234,43
235,44
236,44
237,44
238,44
239,44
240,45
241,45
242,45
243,45
244,46
245,47
246,47
247,47
248,47
249,48
250,48
251,48
252,49
253,49
254,49
255,49
256,49
257,49
258,50
259,50
260,50
261,51
262,51
263,51
264,52
265,53
266,53
267,53
268,53
269,54
270,54
271,54
272,54
273,54
274,55
275,55
276,55
277,55
278,55
279,55
280,55
281,55
282,55
283,55
284,56
285,56
286,56
287,56
288,57
289,57
290,57
291,57
292,57
293,58
294,58
295,58
296,58
297,58
298,58
299,58
300,58
301,58
302,58
303,58
304,58
305,58
306,58
307,58
308,58
309,58
310,59
311,59
312,59
313,59
314,59
315,60
316,61
317,61
318,61
319,61
320,61
321,61
322,61
323,61
324,62
325,63
326,63
327,63
328,63
329,64
330,64
331,64
332,64
333,64
334,64
335,64
336,64
337,64
338,64
339,64
340,64
341,64
342,64
343,64
344,65
345,66
346,67
347,68
348,69
349,69
350,69
351,69
352,70
353,71
354,71
355,71
356,71
357,71
358,72
359,72
360,72
361,72
362,72
363,73
364,73
365,73
366,73
367,73
368,73
369,73
370,73
371,73
372,73
373,73
374,73
375,73
376,74
377,74
378,74
379,74
380,74
381,75
382,75
383,76
384,77
385,77
386,78
387,78
388,78
389,78
390,79
391,79
392,79
393,79
394,79
395,80
396,80
397,80
398,80
399,81
400,81
401,82
402,82
403,82
404,82
405,82
406,83
407,83
408,83
409,83
410,83
411,84
412,84
413,84
414,84
415,84
416,84
417,84
418,84
419,84
420,84
421,85
422,86
423,86
424,86
425,87
426,87
427,88
428,89
429,89
430,89
431,90
432,91
433,91
434,91
435,91
436,91
437,91
438,91
439,91
440,91
441,92
442,93
443,94
444,95
445,96
446,96
447,96
448,97
449,98
450,98
451,98
452,98
453,98
454,98
455,98
456,98
457,98
458,98
459,98
460,98
461,98
462,99
463,99
464,99
465,99
466,99
467,99
468,99
469,100
470,100
471,100
472,100
473,100
474,101
475,102
476,103
477,103
478,103
479,103
480,103
481,103
482,103
483,103
484,103
485,103
486,103
487,103
488,103
489,103
490,103
491,103
492,103
493,103
494,104
495,104
496,104
497,104
498,105
499,105
